Model,Language,Shot Type,Total Samples,Correct,Accuracy,Avg Story Accuracy,Precision,Recall,F1 Score,TP,FP,TN,FN,Total Tokens,Correct Tokens,Prompt Tokens,Output Tokens,Reasoning Tokens,Time Usage
Claude_3_5_Sonnet,en,2,1532,1305,0.851828,0.8627225430121132,0.9181636726546906,0.7120743034055728,0.8020924149956408,460,41,845,186,1585459,0,1579187,6272,0,3116.702239513397
Llama_3_1_405B,en,2,1532,1299,0.847911,0.8559327339596929,0.8191653786707882,0.8204334365325078,0.819798917246713,530,117,769,116,1445552,0,1443924,1628,0,796.1197323799133
GPT_4o,en,2,1532,1272,0.830287,0.8304113174444657,0.915948275862069,0.6578947368421053,0.7657657657657658,425,39,847,221,1418403,0,1416871,1532,0,3067.420596599579
Qwen_2_72B,en,2,1532,1272,0.830287,0.833783218902626,0.8122977346278317,0.7770897832817337,0.7943037974683544,502,116,770,144,1445849,0,1444313,1536,0,820.7472598552704
Moonshot_v1_8k,en,2,1532,1252,0.817232,0.8235728953729876,0.7824074074074074,0.7848297213622291,0.7836166924265843,507,141,745,139,1476859,0,1473795,3064,0,1313.577852010727
Llama_3_1_70B,en,2,1532,1232,0.804178,0.8096210123597415,0.7464387464387464,0.8111455108359134,0.7774480712166173,524,178,708,122,1445460,0,1443924,1536,0,616.0248291492462
Deepseek_V2_5,en,2,1532,1170,0.763708,0.7769333867002404,0.8364928909952607,0.5464396284829721,0.6610486891385768,353,69,817,293,1513866,0,1512318,1548,0,628.7473087310791

Claude_3_5_Sonnet,zh,2,1532,1371,0.894909,0.8999561295087449,0.8890675241157556,0.8573643410852713,0.87292817679558,553,69,818,92,2113951,0,2106291,7660,0,5221.5459015369415
GPT_4o,zh,2,1532,1347,0.879243,0.8789226814347669,0.8795379537953796,0.8263565891472868,0.8521183053557154,533,73,814,112,1459209,0,1457677,1532,0,2454.55854511261
Qwen_2_72B,zh,2,1532,1304,0.851175,0.8585215356203166,0.8539898132427843,0.7798449612403101,0.8152350081037277,503,86,801,142,1281735,0,1280203,1532,0,868.7607798576355
Moonshot_v1_8k,zh,2,1532,1288,0.840731,0.8471238435276686,0.8347245409015025,0.7751937984496124,0.8038585209003215,500,99,788,145,1241376,0,1238312,3064,0,3221.874014854431
Llama_3_1_405B,zh,2,1532,1252,0.817232,0.8220003747846546,0.7284105131414268,0.9023255813953488,0.8060941828254847,582,217,670,63,1520043,0,1518499,1544,0,783.1723737716675
Deepseek_V2_5,zh,2,1532,1236,0.806789,0.8169974613883653,0.766412213740458,0.7782945736434108,0.7723076923076923,502,153,734,143,1303938,0,1302406,1532,0,575.2792360782623
Llama_3_1_70B,zh,2,1532,1216,0.793734,0.7951620846444094,0.723202170963365,0.8263565891472868,0.7713458755426916,533,204,683,112,1520031,0,1518499,1532,0,639.3024392127991
